Brand,Model_year,Transmission,Engine_size(cc),Drivetrain,Fuel_type,Lot_no,Kilometer,Price
Hyundaitucson,14,0,2000,1,1,5,60000,2400000
Hyundaiasta,7,0,1200,0,0,11,40000,2196000
Hyundaii10,7,0,1200,0,0,12,27005,1850000
Hyundaii10,7,0,1200,0,0,12,42000,1850000
Hyundaii20,5,0,1200,0,0,16,7500,3200000
Hyundaisantro,14,0,1100,0,0,5,65000,1000000
Hyundaisantro,9,0,1100,0,0,10,36000,1525000
Hyundaitucson,8,0,2000,1,0,13,31000,4200000
Hyundaisantro,8,0,1200,0,0,11,45000,1450000
Hyundaii10,5,0,1200,0,0,15,18000,2300000
Hyundaigetz,12,0,1400,0,0,7,47000,1089996
Hyundaii10,12,0,1200,0,0,1,45000,1180000
Hyundaisantro,12,0,1200,0,0,7,60000,1150000
Hyundaisantro,19,0,1000,0,0,4,65000,625000
Hyundaieon,9,0,800,0,0,9,50000,1250000
Hyundaii10,11,0,1200,0,0,8,31000,1475000
Hyundaisantro,20,0,1000,0,0,3,61000,630000
Hyundaieon,4,0,800,0,0,18,25000,1350000
Hyundaii10,10,0,1200,0,0,9,33000,1650000
Hyundaiasta,12,0,1200,0,0,7,48000,1550000
Hyundaii10,8,0,1200,0,0,11,38255,1675000
Hyundaii10,7,0,1200,0,0,12,34000,1850000
Hyundaitucson,13,0,2000,1,1,6,53000,2600000
Hyundaisantro,12,0,1100,0,0,11,49000,1150000
Hyundaiasta,6,0,1200,0,0,13,5200,2455000
Hyundaisantro,20,0,1000,0,0,3,61000,690000
Hyundaii10,11,0,1200,0,0,8,35000,1750000
Hyundaii10,12,0,1200,0,0,7,30000,1380000
Hyundaigetz,13,0,1400,0,0,6,34000,1235000
Hyundaisantro,11,0,1000,0,0,8,20000,1325000
Hyundaii10,7,0,1200,0,0,12,25000,2025000
Hyundaitucson,15,0,2000,1,1,5,74000,2500000
Hyundaii10,11,0,1200,0,0,8,32000,1525000
Hyundaii10,12,0,1200,0,0,6,44500,1450000
Hyundaisantro,13,0,1100,0,0,6,35000,1150000
Hyundaitucson,12,0,2000,1,1,8,65700,3150000
Hyundaiaccent,13,0,1400,0,0,7,38000,1410000
Hyundaisantro,13,0,1100,0,0,7,59000,1099999
Hyundaisantro,10,0,1100,0,0,9,35600,1325000
Hyundaisantro,13,0,1100,0,0,7,55000,1125000
Hyundaiasta,11,0,1200,0,0,8,43000,1775000
Hyundaiasta,11,0,1200,0,0,8,32400,1725000
Hyundaii10,5,0,1200,1,0,15,13000,2400000
Hyundaii10,12,0,1100,0,0,7,46000,1275000
